ticker,shortName,sector,industry,currentPrice,sharesOutstanding,marketCap,trailingEps,forwardEps,dividendRate,dividendYield,priceToBook,is_date,revenue,cogs,gross_profit,operating_income,interest_expense,net_income,bs_date,total_assets,total_liab,total_equity,current_assets,current_liab,short_long_term_debt,long_term_debt,total_debt,cf_date,operating_cash_flow,capex,free_cash_flow
AAPL,Apple Inc.,Technology,Consumer Electronics,256.3962,14776353000,3804927623168,7.47,9.15508,1.04,0.4,51.37047,2025-09-30,416161000000.0,220960000000.0,195201000000.0,133050000000.0,,112010000000.0,2025-09-30,359241000000.0,,,,,,78328000000.0,78328000000.0,2025-09-30,,,
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,477.8223,7432377655,3551732695040,14.07,18.74238,3.64,0.75,9.7834215,2025-06-30,281724000000.0,87831000000.0,193893000000.0,128528000000.0,2385000000.0,101832000000.0,2025-06-30,619003000000.0,,,,,,40152000000.0,40152000000.0,2025-06-30,,,
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,322.57,5818000000,3907007283200,10.14,11.1946,0.84,0.26,10.069928,2024-12-31,350018000000.0,146306000000.0,203712000000.0,112390000000.0,268000000.0,100118000000.0,2024-12-31,450256000000.0,,,,,,10883000000.0,10883000000.0,2024-12-31,,,
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,244.11,10690216011,2609588731904,7.08,7.86206,,,7.0578537,2024-12-31,637959000000.0,326288000000.0,311671000000.0,68593000000.0,2406000000.0,59248000000.0,2024-12-31,624894000000.0,,,,,,52623000000.0,52623000000.0,2024-12-31,,,
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,429.9497,3325819167,1429934964736,1.47,2.20383,,,17.871382,2024-12-31,97690000000.0,80240000000.0,17450000000.0,7760000000.0,350000000.0,7130000000.0,2024-12-31,122070000000.0,,,,,,5535000000.0,5535000000.0,2024-12-31,,,
